article;list_price;buying_price
208740264R;23.59;12.27
208740718R;18.47;9.60
208741016R;256.70;133.48
208746418R;257.73;134.02
208746583R;176.53;91.80
208853765R;128.82;74.72
208859042R;128.82;74.72
210A30608R;18.29;14.94
210100638R;132.34;132.34
210100753R;129.60;129.60
210101414R;182.29;182.29
210101687R;190.39;190.39
210101832R;114.80;114.80
210102248R;158.83;158.83
210102298R;190.39;190.39
210102662R;135.04;135.04
210103098R;190.39;190.39
210103314R;114.80;114.80
210104BC0A;835.19;835.19
210104221R;129.74;129.74
210104880R;127.87;127.87
210105481R;131.76;131.76
210105707R;136.38;136.38
210106PD0A;265.27;265.27
210106VB0A;132.34;132.34
210106094R;132.34;132.34
210107370R;145.81;145.81
210107490R;132.34;132.34
210107852R;129.60;129.60
210108030R;132.34;132.34
210108796R;182.29;182.29
210109055R;123.22;123.22
210109189R;114.80;114.80
210109334R;132.34;132.34
210109404R;132.34;132.34
210115536R;190.39;190.39
210141KC0A;7.53;6.15
210142393R;8.56;8.56
210192168R;50.84;41.54
210194432R;32.02;26.16
210196292R;57.82;47.24
210196643R;36.48;29.80
210197606R;8.91;7.28
210198219R;82.44;67.35
210199991R;28.25;23.08
212050182R;20.81;17.00
212057743R;29.33;23.96
212301538R;191.90;111.30
212301594R;194.62;112.88
212302108R;180.10;104.46
212303402R;165.58;96.04
212308733R;180.10;104.46
212309316R;191.90;111.30
212309571R;340.03;197.22
21250BV81A;374.70;206.09
213421531R;64.49;52.69
213422930R;300.74;245.70
213427032R;202.94;165.80
214E11600R;143.27;117.05
214E61515R;2.60;2.12
214E73082R;12.10;9.89
214763194R;48.99;40.02
215061456R;4.01;3.28
215084467R;4.01;3.28
215140015R;18.29;14.94
215142429R;15.02;12.27
215142543R;10.24;8.37
215143071R;15.09;12.33
215144561R;15.09;12.33
215145780R;29.38;24.00
215147317R;11.28;9.22
215149414R;11.28;9.22
215149933R;28.54;23.32
215424EA0A;61.04;49.87
215424EB0A;59.53;48.64
215424515R;65.48;53.50
215426396R;29.33;23.96
215427600R;39.80;32.52
215428781R;57.42;46.91
21543JY00A;2.88;2.35
215431629R;29.33;23.96
215432175R;4.90;4.00
215434987R;48.82;39.89
215437536R;18.29;14.94
215438144R;29.33;23.96
215444BE0A;56.03;45.78
215444EA0A;51.43;42.02
215755MS1A;128.82;74.72
216130995R;12.10;9.89
216133494R;18.29;14.94
216135929R;93.04;76.01
216441494R;39.84;32.55
216443983R;2.94;2.40
217531810R;29.38;24.00
2223615920;87.32;48.03
223100819R;78.45;43.15
223101288R;204.39;112.41
223101492R;180.13;99.07
223102528R;180.13;99.07
223103961R;99.30;54.62
223104876R;83.24;45.78
223106340R;180.14;99.08
223106488R;121.50;66.83
223107031R;98.62;54.24
